order_id,platform,status,amount
ORD0001,pdd,completed,2807.05
ORD0002,jd,paid,957.7
ORD0003,pdd,paid,3734.35
ORD0004,unknown,paid,131.4
ORD0005,taobao,paid,3053.42
ORD0006,taobao,shipped,4956.18
ORD0007,pdd,paid,685.4
ORD0008,taobao,cancelled,707.77
ORD0009,taobao,shipped,943.12
ORD0010,jd,completed,1805.76
ORD0011,pdd,paid,-99.5
ORD0012,pdd,paid,2563.14
ORD0013,jd,shipped,3007.15
ORD0014,pdd,shipped,147.06
ORD0015,jd,completed,1847.14
ORD0016,taobao,shipped,1135.35
ORD0017,taobao,completed,2420.72
ORD0018,taobao,paid,3490.06
ORD0019,taobao,shipped,2089.26
ORD0020,pdd,paid,2427.51
ORD0021,pdd,paid,786.96
ORD0022,taobao,paid,3030.77
ORD0023,taobao,paid,2715.49
ORD0024,taobao,completed,1467.89
ORD0025,jd,paid,3847.59
ORD0026,jd,completed,1325.71
ORD0027,pdd,paid,4560.55
ORD0028,taobao,shipped,3992.9
ORD0029,jd,paid,3662.79
ORD0030,taobao,completed,2309.61
ORD0031,pdd,completed,456.61
ORD0032,pdd,completed,2772.25
ORD0033,taobao,shipped,2112.57
ORD0034,taobao,paid,3622.74
ORD0035,jd,completed,3509.62
ORD0036,pdd,shipped,3095.64
ORD0037,taobao,shipped,1846.86
ORD0038,taobao,shipped,2369.33
ORD0039,taobao,completed,3968.45
ORD0040,jd,completed,2188.7
ORD0041,taobao,paid,2340.13
ORD0042,pdd,paid,3638.88
ORD0043,jd,shipped,2031.1
ORD0044,jd,paid,2453.92
ORD0045,jd,shipped,3165.26
ORD0046,taobao,completed,2258.63
ORD0047,taobao,completed,1943.25
ORD0048,pdd,completed,1927.95
ORD0049,taobao,completed,1688.19
ORD0050,taobao,completed,4373.24
ORD0001,pdd,completed,2807.05
ORD0002,jd,paid,957.7
