sku,name,cost,price,category
PRD0001,无线鼠标,129.19,790.47,外设
PRD0002,无线鼠标,126.0,123.34,配件
PRD0003,智能手环,151.53,296.16,3C数码
PRD0004,机械键盘,136.92,597.81,外设
PRD0005,   ,286.68,648.62,外设
PRD0006,降噪耳麦,117.27,356.88,配件
PRD0007,智能手环,192.51,663.26,3C数码
PRD0008,电竞椅,170.7,751.51,外设
PRD0009,无线蓝牙耳机,264.24,343.86,外设
PRD0010,智能手环,-5.0,314.47,3C数码
PRD0011,智能手环,36.99,519.78,外设
PRD0012,机械键盘,190.53,438.66,外设
PRD0013,便携充电宝,92.9,301.48,外设
PRD0014,便携充电宝,21.59,397.17,3C数码
PRD0015,无线蓝牙耳机,287.98,427.06,3C数码
PRD0016,智能手环,122.85,0,配件
PRD0017,机械键盘,222.57,326.62,配件
PRD0018,机械键盘,19.14,152.25,配件
PRD0019,便携充电宝,185.13,107.82,配件
PRD0020,显示器支架,34.74,522.54,外设
PRD0021,便携充电宝,280.11,484.53,配件
PRD0022,无线蓝牙耳机,275.65,427.11,外设
PRD0023,无线鼠标,60.78,223.2,3C数码
PRD0024,无线蓝牙耳机,95.86,449.34,外设
PRD0025,无线蓝牙耳机,63.09,185.44,配件
PRD0026,桌面台灯,235.78,755.24,3C数码
PRD0027,智能手环,115.98,748.32,3C数码
PRD0028,机械键盘,172.12,736.83,3C数码
PRD0029,桌面台灯,211.87,727.91,外设
PRD0030,电竞椅,180.69,83.06,外设
