sku,system_qty,warehouse_qty
SKU0001,5,4
SKU0002,115,86
SKU0003,155,83
SKU0004,41,133
SKU0005,164,157
SKU0006,-10,187
SKU0007,91,90
SKU0008,100,188
SKU0009,200,75
SKU0010,99,88
SKU0011,106,145
SKU0012,179,116
SKU0013,176,226
SKU0014,48,166
SKU0015,61,25
SKU0016,64,27
SKU0017,21,131
SKU0018,19,98
SKU0019,134,132
SKU0020,101,97
SKU0021,40,10
SKU0022,6,109
SKU0023,131,62
SKU0024,2,140
SKU0025,120,146
SKU0026,128,161
SKU0027,174,155
SKU0028,120,36
SKU0029,107,182
SKU0030,72,74
SKU0031,56,59
SKU0032,79,157
SKU0033,9,178
SKU0034,112,124
SKU0035,22,86
SKU0036,86,13
SKU0037,191,178
SKU0038,192,117
SKU0039,95,145
SKU0040,90,56
