==================================================
电商运营数字员工 - 日报
==================================================
任务: 库存对账
数据日期: 2026-08-03
生成时间: 2026-08-03 00:51:45
--------------------------------------------------
  total_skus: 40
  diff_count: 40
  negative_count: 1
  anomaly_count: 41
--------------------------------------------------
异常明细 (41 条):
  [warning] stock_diff | SKU0001: 库存差异 -69.0 (系统 90.0 vs 仓库 159.0)
  [warning] stock_diff | SKU0002: 库存差异 87.0 (系统 195.0 vs 仓库 108.0)
  [warning] stock_diff | SKU0003: 库存差异 37.0 (系统 139.0 vs 仓库 102.0)
  [warning] stock_diff | SKU0004: 库存差异 119.0 (系统 139.0 vs 仓库 20.0)
  [warning] stock_diff | SKU0005: 库存差异 -68.0 (系统 85.0 vs 仓库 153.0)
  [critical] negative_stock | SKU0006: 系统库存为负: -10.0
  [warning] stock_diff | SKU0006: 库存差异 -196.0 (系统 -10.0 vs 仓库 186.0)
  [warning] stock_diff | SKU0007: 库存差异 120.0 (系统 156.0 vs 仓库 36.0)
  [warning] stock_diff | SKU0008: 库存差异 80.0 (系统 123.0 vs 仓库 43.0)
  [warning] stock_diff | SKU0009: 库存差异 99.0 (系统 120.0 vs 仓库 21.0)
  [warning] stock_diff | SKU0010: 库存差异 -12.0 (系统 16.0 vs 仓库 28.0)
  [warning] stock_diff | SKU0011: 库存差异 -109.0 (系统 36.0 vs 仓库 145.0)
  [warning] stock_diff | SKU0012: 库存差异 93.0 (系统 181.0 vs 仓库 88.0)
  [warning] stock_diff | SKU0013: 库存差异 -50.0 (系统 170.0 vs 仓库 220.0)
  [warning] stock_diff | SKU0014: 库存差异 -117.0 (系统 4.0 vs 仓库 121.0)
  [warning] stock_diff | SKU0015: 库存差异 -66.0 (系统 72.0 vs 仓库 138.0)
  [warning] stock_diff | SKU0016: 库存差异 61.0 (系统 133.0 vs 仓库 72.0)
  [warning] stock_diff | SKU0017: 库存差异 -93.0 (系统 6.0 vs 仓库 99.0)
  [warning] stock_diff | SKU0018: 库存差异 -39.0 (系统 140.0 vs 仓库 179.0)
  [warning] stock_diff | SKU0019: 库存差异 9.0 (系统 197.0 vs 仓库 188.0)
  ... 共 41 条，仅显示前 20 条
